County,State,"Number of physicians, 2004",Number of deaths in 2004,Death Rate in 2004,Personal Income per capita 2004,Total Persons,% under 5 years,% 5- 14 years,% 15- 24 years,% 25- 34 years,% 35 - 44 years,% 45-54 years,% 55- 64 yrs,%65-74,75 +,white,african american,asian,american indian and alaska native,native hawaiian / other pacific islander,hispanic or latino,number of males per 100 females
Linn,KS,3,86,8.8,"24,654","6,538",5.4,12.4,13,11.9,12.6,14.8,12.6,8.4,8.9,98,0.7,0.2,0.4,0,1,101.5
Logan,KS,1,32,11.4,"28,523","2,058",5.5,12.6,10.4,10.2,12,17.1,10.5,9,12.6,98.5,0.6,0.1,0.1,0,2,96.8
Lyon,KS,48,292,8.1,"24,652","20,559",7.1,12.6,19.7,14,12.4,13.5,8.9,5.5,6.2,93.6,2.7,1.7,0.7,0,19.4,97.4
McPherson,KS,36,329,11.2,"31,890","19,078",5.7,11.9,16.4,11,12.3,15.4,10.5,7.2,9.7,97.4,1,0.4,0.3,0,2.3,97.4
Marion,KS,9,181,13.9,"23,336","9,000",4.8,12.2,14.7,9.1,12.3,15,11.2,8.7,12.1,98.1,0.4,0.2,0.7,0,2.1,97.5
Marshall,KS,7,136,13.1,"32,311","7,460",5.2,10.8,13.7,8.5,12.6,16.5,11.2,9.3,12.2,98.4,0.3,0.3,0.4,0,0.8,100.4
Meade,KS,4,45,9.8,"27,240","2,946",7,16,13.1,11.1,13.1,14.9,7.7,8.2,9,97.9,0.5,0.5,0.6,0,13.2,100.8
Miami,KS,35,239,8,"31,522","18,444",6.6,13.5,14.7,12,15.2,15.9,10.4,6.2,5.4,96.2,1.6,0.3,0.6,0,1.8,99.5
Mitchell,KS,7,97,14.9,"28,402","4,645",4.6,11.3,15,7.6,12.2,15.9,12.3,9,12,98,0.7,0.5,0.5,0,1,96.7
Montgomery,KS,42,478,13.7,"26,445","24,090",6.1,12.5,13.7,10.9,12.8,14.4,11.9,7.8,10,87,6.2,0.6,3.3,0,3.2,94.1
Morris,KS,6,69,11.5,"25,552","4,224",4.8,12,13.7,9.1,13,16.1,11.8,8.3,11.2,98.6,0.3,0.2,0.4,0,3.6,98.8
Morton,KS,7,43,13.3,"26,313","2,165",7.3,15.9,12.7,8.7,12.9,15.7,11.1,8.2,7.7,96.7,0.3,1.2,1.4,0,14.1,92.3
Nemaha,KS,4,153,14.7,"29,984","7,038",6.1,14.4,13.8,8.5,13.2,13.9,9.2,8.4,12.5,98.4,0.5,0.1,0.5,0,0.8,98.9
Neosho,KS,14,192,11.6,"25,086","11,113",6.2,12.4,14.2,11.4,13.1,14.6,11,8.1,9.1,96.2,1.1,0.4,0.8,0,2.8,95.7
Ness,KS,1,41,13.4,"35,449","2,498",4.7,10.8,10.2,5.3,12.7,17.5,12.2,12,14.6,99.2,0.1,0.1,0.2,0,2.7,99.7
Norton,KS,6,86,15,"25,554","4,178",4.2,10.6,14.2,11.8,14.9,14.8,11.1,7.4,11,94.4,4.3,0.7,0.5,0,2.5,124.1
Osage,KS,7,184,10.8,"24,880","11,117",5.1,13.2,14.1,11.6,13.9,15.4,11.2,7.8,7.7,97.7,0.3,0.2,0.7,0.1,1.5,96.7
Osborne,KS,2,74,18,"25,371","3,115",4.4,10.9,13,6.2,12.2,16.7,11.6,10,14.8,98.9,0.1,0.4,0.2,0,0.4,100.1
Ottawa,KS,6,68,11.1,"24,217","4,228",5.3,12.3,13.1,10.4,14.1,16.4,11.9,8.2,8.3,98.1,0.6,0.2,0.5,0,2,101.2
Pawnee,KS,18,82,12.1,"29,027","4,875",4.7,11.4,15,10,13.2,16.3,11.8,7.8,9.9,92.7,5.3,0.7,1.1,0,4.6,114.4
Phillips,KS,5,63,11.2,"30,143","4,182",5.2,11.6,11.8,7.3,12.8,16,13,10.5,11.7,98.5,0.3,0.5,0.3,0,0.8,98.6
Pottawatomie,KS,16,171,9.1,"30,019","11,441",7,14.4,14.8,12.2,14,14.8,9.9,6.3,6.7,97,0.8,0.5,0.6,0,2.6,98.3
Pratt,KS,13,128,13.7,"29,552","6,365",5.6,11.7,16.5,9.4,12.1,16.9,9.7,7.8,10.4,97.4,1.2,0.5,0.3,0.1,4.6,95.6
Rawlins,KS,4,49,17.7,"29,437","2,152",3.3,10.6,13.4,4.2,11.8,17.4,13.5,11,14.7,98.9,0.4,0.1,0.3,0,1.1,98.5
Reno,KS,141,600,9.4,"27,109","43,082",6.3,12.2,13.7,12.2,13.1,15.1,10.8,7.5,9.1,94.6,2.9,0.6,0.7,0,6.3,101.6
Republic,KS,7,83,15.9,"24,164","4,256",4.3,9.8,12,5.8,11.3,17.3,12.9,11.1,15.4,98.7,0.4,0.2,0.4,0,1.1,95.9
Rice,KS,4,140,13.4,"22,176","6,701",5.8,11.9,19.4,9.5,11.2,14.4,10.1,8.4,9.2,96.9,1.2,0.7,0.7,0,7,93.3
Riley,KS,136,317,5,"31,820","29,358",6.5,8.6,36.7,17.8,8.7,8.1,5.3,3.7,4.6,86.7,6.9,3.5,0.6,0.2,4.7,113.8
Rooks,KS,4,75,14,"26,378","3,901",5.3,12,13.9,9,13.1,14.8,10.7,9.6,11.6,98,1.3,0.2,0.5,0,1.2,98.4
Rush,KS,4,50,14.5,"25,951","2,568",5.3,10.5,12.3,8.5,11.9,15.8,11.9,9.8,13.8,98.8,0.3,0.2,0.5,0,1.5,95.6
Russell,KS,8,110,15.8,"25,822","5,323",5.1,10.8,12,8,12.4,15.5,12.6,9.8,13.7,98.2,0.7,0.4,0.4,0,1.2,95
Saline,KS,154,495,9.2,"30,930","34,680",6.7,13.5,13.9,12.9,13.9,14.7,10.3,6.7,7.4,92.3,3.3,1.9,0.6,0,7.5,97.7
Scott,KS,5,39,8.4,"30,742","3,376",6.6,13,14.3,9.8,12.9,17,12.8,6.6,7.1,98.8,0.2,0.1,0.8,0,8.5,100.5
Sedgwick,KS,"1,387","3,702",8,"34,703","282,585",7.7,14.8,13.8,14.3,14.3,14.5,9.3,5.6,5.7,83.4,9.3,3.7,1.1,0.1,9.8,98.6
Seward,KS,38,139,6,"25,224","12,690",10.7,16.7,14.6,14.6,14.7,12.5,7.6,4.4,4.3,91.5,3.9,2.9,0.8,0.2,50.4,106.1
Shawnee,KS,538,"1,564",9.1,"32,521","111,709",7,12.9,13.4,13.1,13.5,15.1,11,6.9,7,86,9.1,1.1,1.4,0.1,8.4,95.2
Sheridan,KS,2,27,10.4,"34,465","1,905",5.1,11.4,14.5,5.7,12.6,18.2,11.3,10.3,10.8,99.3,0.2,0,0.2,0.2,1.9,98.1
Sherman,KS,6,78,12.6,"26,402","4,319",5.7,11.9,15.5,9.4,11.6,15.3,11.8,8.5,10.4,98.5,0.5,0.1,0.3,0.3,8.5,104.4
Smith,KS,4,65,15.6,"26,830","3,338",3.9,10.1,11.6,6.2,12.6,15.7,12.3,11.6,16.1,99,0.2,0,0.2,0.3,1,95.3
Stafford,KS,1,63,13.9,"27,097","3,254",4.9,12.7,13.6,7.3,13.9,16.5,11.1,9.2,10.9,98.6,0.2,0.2,0.3,0,7.2,97
Stanton,KS,2,25,10.6,"31,952","1,468",7.5,15.3,13.1,11.6,15,14.7,8.1,8,6.8,97.7,0.3,0.2,1.7,0,29.8,104.1
Stevens,KS,2,47,8.6,"29,561","3,287",7.8,16.2,14.6,11.8,13.3,14,9.4,5.7,7.1,97.1,1.1,0.4,1.1,0,25.5,95.9
Sumner,KS,10,277,11,"27,949","16,662",6,13.9,14.5,9.7,12.9,16.9,10.7,7,8.4,96.6,1,0.2,0.8,0,3.6,97.7
Thomas,KS,8,96,12.3,"29,522","4,978",5.9,13.4,16.6,10.9,11.9,16,9.6,7.3,8.4,97.9,0.7,0.5,0.4,0,2.2,94.1
Trego,KS,4,54,17.2,"24,280","2,342",4.9,10.9,12.3,7.6,11.2,18.1,10.8,10.2,14,98.3,0.4,0.7,0.2,0,1,90.6
Wabaunsee,KS,3,60,8.7,"27,800","4,623",5.3,12.4,14.2,10.2,13.6,17,11.9,8,7.3,98.2,0.5,0.1,0.5,0.2,2.3,101.4
Wallace,KS,1,9,5.7,"24,956","1,133",6,14.1,14.9,7.1,10.9,17.2,10.8,9.6,9.2,98,0.9,0.2,0.9,0,6.2,98.4
Washington,KS,3,92,15.1,"25,637","4,572",4.8,11.9,11.4,8.1,12.4,15.2,12.6,9.9,13.6,99.2,0.1,0,0.5,0,1.1,106.6
Wichita,KS,2,35,14.9,"35,014","1,625",6.4,15.5,11.8,10.2,12.7,16.3,10.8,7.7,8.4,98.5,0.2,0,1,0,21,107.1
Wilson,KS,7,132,13.3,"26,622","6,944",5.2,12.6,13.1,11.1,12,15.4,11.4,8.3,10.9,97.3,0.6,0.3,1,0.1,2,95
Woodson,KS,1,59,16.6,"22,166","2,667",5,9.5,13,11,11.6,15.8,11.9,8.8,13.5,97.8,0.9,0.1,1.1,0,1.6,92.9
Wyandotte,KS,618,"1,458",9.3,"23,640","96,608",8.5,14.9,13.9,14.9,13.9,13.8,9.3,5.3,5.3,68.3,27,1.7,0.8,0.1,21.4,96.2
Adair,KY,17,168,9.6,"21,108","11,270",5.9,12.2,14.9,13,13.9,13.8,11.2,8.4,6.7,95.8,3,0.4,0.2,0,0.7,95.6
Allen,KY,5,187,10.1,"23,458","11,643",6.3,13.5,13.4,14.7,14.4,13.7,10.9,7.7,5.5,97.9,1.3,0.2,0.1,0,0.9,96.5
Anderson,KY,18,156,7.8,"25,979","12,600",5.7,14.6,12.2,14.3,16.7,14.9,10.5,6.3,4.9,96.8,2.4,0.3,0,0,1,97.7
Ballard,KY,2,89,10.8,"31,494","5,766",5.6,12.1,12.3,11.9,13.7,15.2,12.8,8.4,8,95.5,3.7,0.2,0,0,0.8,99.7
Barren,KY,95,406,10.3,"24,479","25,751",6.1,12.8,12.4,13.4,14.3,14.6,11.5,8,6.9,94.8,3.9,0.5,0.2,0,1.2,94.3
Bath,KY,7,122,10.6,"20,238","7,451",6.6,13.1,11.8,14.5,14.5,14.3,11.1,7.8,6.4,97.5,1.7,0,0.3,0,0.9,97.7
Bell,KY,54,335,11.3,"19,531","20,042",6.2,12.4,13.4,13.2,14.6,14.2,12,7.6,6.4,96.2,2.6,0.4,0.2,0,0.8,92.6
Boone,KY,157,563,5.6,"30,963","54,166",7.3,14.9,14.1,15.3,16.5,14.4,9.2,4.9,3.5,94.5,2.4,1.7,0.2,0.1,2.5,99.1
Bourbon,KY,25,202,10.3,"30,250","13,015",5.8,13.4,13,12.6,14.9,14.9,11.9,7.7,5.9,91.7,6.9,0.3,0.1,0.1,3.7,95.2
Boyd,KY,216,621,12.5,"27,555","34,697",5.9,11.3,12.2,12.7,14.1,15.9,12.2,8.5,7.1,95.9,2.9,0.4,0.1,0,1.5,98
Boyle,KY,106,299,10.6,"25,808","18,491",5.5,12.2,15.8,12.5,14.2,14.5,11.6,7.2,6.6,88.6,9.1,0.9,0.4,0,1.9,98.2
Bracken,KY,4,83,9.5,"23,299","5,460",5.9,13,13.5,13.7,14.7,15.1,10.7,7.6,5.7,98.9,0.6,0.1,0.3,0,0.5,97.5
Breathitt,KY,27,174,10.9,"19,191","10,393",5.4,12.8,14.7,13.4,14.9,15.4,11.4,7.2,4.7,98.9,0.4,0.5,0,0,0.7,99.3
Breckinridge,KY,8,226,11.8,"22,224","12,501",5.7,12.8,13.3,13.4,14.2,14.7,12.2,7.9,5.8,96.2,2.8,0.1,0.2,0,0.9,99.2
Bullitt,KY,28,350,5.2,"24,693","39,307",5.7,14.3,13.5,15.2,16.3,14.8,11.3,5.7,3.2,97.8,0.8,0.3,0.3,0,1,99.2
Butler,KY,3,133,9.9,"20,429","8,489",6,12.4,13,14.7,15.1,14.4,11.1,7,6.1,98.7,0.6,0.2,0.1,0,1.7,100.1
Caldwell,KY,12,171,13.3,"25,886","9,265",5.4,11.9,11.7,12.4,13,14.9,13.6,9.1,8,94.5,4.8,0.2,0.1,0,0.6,92.7
Calloway,KY,70,297,8.5,"25,959","21,032",4.9,9.3,23.8,13.6,11.3,11.7,10.5,7.6,7.3,93,4,2.1,0.2,0,1.5,95.8
Campbell,KY,153,829,9.5,"31,168","57,184",6.4,13.5,14.4,12.2,15.4,15.1,10.2,6.7,6.1,96.2,2.1,0.7,0.2,0,1.1,94.7
Carlisle,KY,1,63,11.8,"25,788","3,690",5.8,11.8,12.6,11.3,14.2,14.2,12,9,9.1,98.1,1.1,0.1,0.4,0,1.3,99.4
Carroll,KY,6,100,9.7,"26,177","6,690",7.2,13.1,12.8,14.1,15,13.8,11.6,6.6,5.7,96.3,1.9,0.5,0.3,0.1,3.9,100.2
Carter,KY,11,299,11,"19,612","17,394",6,13,14.2,13.9,14.4,13.6,11.7,7.8,5.5,98.9,0.2,0.2,0.3,0,0.6,97.3
Casey,KY,7,175,10.9,"19,330","10,423",6,12.8,12.3,14.3,14.2,13.5,12.1,7.9,7,98.9,0.4,0,0.3,0.1,2,95.7
Christian,KY,124,573,8.1,"28,960","40,344",10.6,16.7,16,15.6,12.6,10.5,8,5.4,4.6,73.5,22.4,0.9,0.4,0.4,4.7,105.8
Clark,KY,59,310,9,"28,961","22,187",6,13,12.3,14.1,15.1,14.8,12,6.9,5.8,94.2,4.8,0.3,0.2,0,1.3,94
Clay,KY,14,243,10,"16,699","16,083",6,12.6,13.8,15.6,16.4,14.6,10.2,6.4,4.4,94.3,5,0.1,0.2,0,1.4,112.5
Clinton,KY,5,125,13.1,"22,046","6,594",6.4,11.9,10.5,14.1,13.7,13.9,13.1,9.5,6.9,98.9,0.1,0,0.2,0.6,2.5,94.8
Crittenden,KY,5,107,11.8,"23,096","6,460",4.7,11.8,13.1,10.6,13.9,14.8,14,9.1,8.1,98.8,0.6,0.1,0,0,0.6,94.6
Cumberland,KY,4,89,12.4,"19,101","4,972",5.9,11.9,12,11.4,13.9,13.5,12.4,10.4,8.6,95.8,3.4,0,0.1,0.2,0.7,94.3
Daviess,KY,227,874,9.4,"28,259","59,745",7.1,13.3,13.5,12.1,13.9,15,11,7.4,6.8,93.4,4.7,0.6,0.1,0,1.2,94.3
Edmonson,KY,3,99,8.3,"19,302","7,865",5.3,12.1,12.4,15,13.6,14.2,13,8.3,6.1,98.6,0.6,0.2,0.4,0,0.9,97.7
Elliott,KY,1,80,11.6,"16,126","4,422",5.9,13.1,13.1,14.3,13,15.2,11.6,7.8,6,99.7,0,0,0,0,0.6,96.4
Estill,KY,8,161,10.6,"18,794","10,189",6.3,12.7,12.1,13.8,15.6,14,12.3,7.7,5.6,99.2,0.2,0.1,0.2,0,0.7,95.3
Fayette,KY,"2,022","1,839",6.9,"35,982","167,235",6.8,11.3,16.3,16.2,15.3,14.1,9.6,5.5,4.9,81.7,13.6,2.9,0.2,0.1,4.9,98.2
Fleming,KY,13,146,10.1,"19,868","9,154",6.2,13.4,12.8,14,14.5,14.4,11.4,7.6,5.7,97.7,1.5,0.2,0.1,0,0.8,96.9
Floyd,KY,72,499,11.8,"21,756","28,370",6.3,11.8,13.5,13.8,15.1,15.7,11.6,6.8,5.3,97.9,1.4,0.2,0.1,0.1,0.7,97
Franklin,KY,84,434,9,"30,944","32,388",6.2,11.9,13.3,13,15.1,15.8,12.2,6.8,5.7,88,9.5,1,0.1,0,2,94.6
Fulton,KY,15,99,13.5,"26,319","5,111",5.7,12.6,13.1,11,12.8,14.8,12,8.3,9.7,75.5,23.4,0.3,0.1,0,0.8,88.7
Gallatin,KY,2,85,10.6,"23,430","5,007",7.4,15.2,12.7,12.9,15.8,14.8,10.7,6.1,4.4,97.2,1.7,0.3,0.1,0,2.3,99.9
Garrard,KY,10,130,8,"21,722","9,951",5.4,12.9,12.7,15.1,15.7,14.6,10.9,7,5.7,96.5,3,0,0.1,0,1.7,97.4
Grant,KY,12,160,6.6,"22,895","13,861",7.4,15,13.2,15.8,15.8,13.3,9.8,5.6,4,98.5,0.4,0.4,0.2,0.1,1.3,98.5
Graves,KY,47,423,11.3,"23,156","24,932",6.3,13.2,12.7,12.6,14,14.1,11.6,7.8,7.8,93.7,4.6,0.3,0.3,0,4.5,95.7
Grayson,KY,27,246,9.8,"20,940","15,940",6.2,13,12.5,14,13.9,14.5,11.7,8.3,5.9,98.5,0.6,0.2,0.1,0,1,98.9
Green,KY,6,145,12.5,"19,235","7,983",5.5,11.6,11.9,12.8,14.5,14.9,12.4,8.6,7.7,97,2.5,0.1,0,0,1.1,98.1
Greenup,KY,43,410,11,"25,945","25,323",5.4,12.2,11.8,12.4,13.8,15.5,13.1,8.8,7,98,0.7,0.5,0.2,0,0.6,93.8
Hancock,KY,2,70,8.3,"23,126","5,427",6.4,14.2,12.8,12.9,14.8,14.3,12.8,6.7,5,98.4,1,0.2,0.3,0,1.3,98.5
Hardin,KY,225,686,7.2,"30,097","58,358",7.4,13.9,15.6,12.4,15.5,14.7,9.7,6.3,4.6,83.3,11.7,1.9,0.4,0.2,3.5,101.4
Harlan,KY,42,428,13.5,"19,462","22,041",6,13,13.5,12,13.9,15.9,12.5,7.3,6,95.8,2.5,0.5,0.4,0,0.8,93.1
Harrison,KY,24,183,10,"24,232","12,009",6.1,12.9,12.6,12.7,15.1,15.4,11.7,7,6.5,96.6,2.3,0.2,0.3,0,1.6,94.7
Hart,KY,9,196,10.8,"18,453","11,474",6.1,13.4,13.3,13.1,14.8,14.6,11.4,7.5,5.8,93.8,5.4,0.1,0.2,0,1.2,98.7
Henderson,KY,71,420,9.3,"28,259","29,960",6.5,12.7,12.6,12.7,14.8,15.9,11.5,7,6.2,91.3,7.4,0.4,0.1,0,1.4,94.5
Henry,KY,10,146,9.2,"25,497","10,032",6.7,13.4,12.3,13.1,14.9,15,12.1,7,5.4,95.2,3.5,0.4,0.3,0,2.7,99
Hickman,KY,2,62,12.1,"43,723","3,734",5.2,11.4,12,10.9,14.7,14.4,13.2,9.4,8.8,89.1,9.8,0.1,0.2,0,1,93.6
Hopkins,KY,139,569,12.2,"25,706","31,464",6,12.6,12.3,12.8,14.2,15.4,11.8,8,6.9,92.2,6.2,0.4,0.2,0,1.2,92.6
Jackson,KY,5,134,9.9,"16,053","8,611",6.1,13.4,12.8,15.7,15,14.7,10.5,6.9,4.9,99.4,0.1,0,0.2,0,0.5,99.1
Jefferson,KY,"3,478","6,766",9.7,"37,121","464,284",6.9,13.1,12.6,12.9,14.8,15.5,10.8,6.8,6.5,76.6,20,1.7,0.2,0,2.4,92.7
Jessamine,KY,82,319,7.5,"26,471","24,182",6.5,14,15.4,15.5,14.6,14.5,9.4,5.7,4.4,94.4,3.4,0.9,0.2,0,1.4,96.1
Johnson,KY,40,266,11.2,"21,322","15,735",6.3,12.2,13.2,13.3,14.5,15.4,12.5,7.4,5.3,99,0.3,0.3,0.1,0,0.7,93.8
Kenton,KY,444,"1,294",8.5,"35,763","97,727",7.4,14.1,12.9,13.5,15.7,15.2,10.3,5.8,5.2,93.6,4.2,0.8,0.1,0.1,1.4,97.5
Knott,KY,6,144,8.2,"19,600","11,427",5,12.6,15.1,12.2,15.1,16.1,12,6.5,5.4,98.7,0.8,0.2,0.1,0,0.7,97.6
KnoNA,KY,18,349,10.9,"20,475","20,401",6.8,13.9,13.9,13.6,14.1,13.5,11.6,7.1,5.6,97.8,1.1,0.2,0.2,0,0.7,93.6
Larue,KY,5,147,10.9,"26,800","9,017",5.7,12.7,12.6,12.3,14.9,14.9,11.5,8.2,7.4,95.6,3.4,0.2,0.2,0,1.1,95.5
Laurel,KY,81,509,9.1,"22,013","34,431",6.7,13.4,12.9,14.9,14.9,14.5,11.1,6.8,4.8,97.6,0.8,0.4,0.4,0,0.6,96.3
Lawrence,KY,14,186,11.6,"18,633","10,256",5.6,12.6,13.2,14.3,14.9,14.7,11.9,7.4,5.4,99,0.2,0.1,0.3,0,0.4,100.5
Lee,KY,3,101,12.9,"18,555","5,381",5.1,11,14.3,13.8,16,13.9,11.2,8.3,6.4,95.3,4,0.1,0.3,0,0.5,110.2
Leslie,KY,7,144,12,"20,124","8,214",5.3,12.2,13,13.4,15.5,16.9,11.1,7.6,5.1,99.5,0.1,0.2,0,0,0.6,94.9
Letcher,KY,40,279,11.3,"21,543","16,930",5.6,11.9,12.4,13.3,14.8,16.4,12.6,7.6,5.5,98.9,0.6,0.3,0,0,0.5,96.6
Lewis,KY,5,157,11.3,"16,683","9,256",5.5,13.2,13.1,13.7,15.2,14.7,11.5,7.4,5.5,99.2,0.3,0,0.2,0,0.5,100.9
Lincoln,KY,14,241,9.7,"19,338","15,440",6.2,13.5,12.6,15,15.2,13.5,10.7,7.6,5.8,97,2.5,0.1,0,0,1.4,97
Livingston,KY,9,124,12.8,"26,509","6,851",4.8,11.4,12.6,11.8,15,15.2,13.8,8.8,6.6,99,0.2,0.1,0.4,0,0.8,99
Logan,KY,17,272,10.1,"24,267","17,471",6.2,13.6,12.5,13.3,14.4,14.2,11.6,7.6,6.4,91.3,7.3,0.2,0.2,0,1.6,93.5
Lyon,KY,3,106,13,"23,007","6,185",3.1,8.4,11.1,14.7,16.6,15.2,11.8,11,8,92.1,7,0.4,0.3,0,0.8,135.8
McCracken,KY,227,691,10.7,"32,217","45,038",6.1,12.5,12.2,11.2,13.9,15.9,12.4,7.6,8.1,86.9,10.9,0.5,0.2,0.1,1.3,91.2
McCreary,KY,5,201,11.8,"17,110","10,668",6.7,13.7,15.2,13.6,14.1,13.6,11.9,6.6,4.6,98,0.8,0,0.4,0,0.7,98.3
McLean,KY,2,104,10.5,"28,048","6,737",6.1,12.6,11.8,13,14.1,14.7,13.1,8,6.5,99.2,0.4,0.1,0,0,1.3,96.4
Madison,KY,120,524,6.9,"22,806","42,125",6.2,11.9,20.3,16.4,13.6,12.3,9.3,5.6,4.5,93.3,4.2,0.9,0.3,0,1.2,94.2
Magoffin,KY,5,132,9.8,"18,867","8,410",6.8,13.4,14.2,14.1,15.2,14.8,10.2,6.6,4.6,99.4,0.2,0.1,0.2,0,0.5,98
Marion,KY,22,177,9.5,"24,107","11,772",7,13.2,13.3,14.6,15.4,13.9,10.6,6.1,5.9,89.8,8.8,0.7,0,0,1.2,104.2
Marshall,KY,23,385,12.5,"27,107","21,278",4.6,11.1,12.7,11.5,14.2,15.1,12.6,10.1,8,98.7,0.2,0.2,0.1,0,0.8,96.9
Martin,KY,6,118,9.6,"20,318","7,835",6.5,14.3,13.5,13.6,14.8,15.5,11,6.2,4.6,99.5,0.1,0.1,0,0.1,0.7,98.2
Mason,KY,40,178,10.5,"25,337","11,372",5.7,12.5,12.2,12.3,14.6,16.1,11.5,7.6,7.6,91.6,7,0.5,0.1,0,1.1,93.5
Meade,KY,9,197,7,"24,729","16,131",5.5,16.2,13.8,16,16.4,14.1,9.5,5.3,3.3,92.8,4.5,0.5,0.7,0.2,2.4,100.2
Menifee,KY,0,58,8.5,"16,846","4,213",5.9,11.7,14.8,13.5,13.5,14,12.9,8.2,5.5,98.4,1.4,0,0,0,1.1,101
Mercer,KY,17,241,11.2,"24,583","14,158",6.2,13.4,11.7,12.8,14.7,14.8,11.9,7.7,6.8,94.2,3.8,0.9,0.2,0,1.7,95.4
Metcalfe,KY,3,144,14.2,"20,069","6,729",5.8,13.2,12,13.3,14.6,14.9,11.2,8.8,6.4,97.5,1.9,0.1,0.2,0,0.7,97.8
Monroe,KY,9,128,11,"21,326","7,896",5.6,13,12.1,13.3,14.1,14.4,11.8,8.7,6.9,96.5,2.8,0.1,0.1,0.1,2.3,96.3
Montgomery,KY,33,201,8.5,"23,294","15,033",6.8,13.3,11.9,15.3,14.4,14.2,11.3,6.5,6.3,95.8,3.3,0.1,0.1,0,1.3,96.2
Morgan,KY,7,115,8,"16,850","9,321",5.1,11.2,14.2,16.2,16,14.9,10,7.1,5.3,95.2,4.5,0.1,0.1,0,0.7,123
Muhlenberg,KY,32,359,11.3,"22,300","21,676",5.6,11.8,12.7,13.2,14.1,14.7,12.4,8,7.4,94.7,4.7,0.1,0,0,0.9,98.4
Nelson,KY,43,304,7.5,"27,266","23,785",6.6,14.5,13.4,13.9,15.7,14.9,10.4,5.9,4.7,93.3,5.3,0.7,0.1,0,1.1,96.7
Nicholas,KY,5,98,13.9,"23,117","4,636",6.2,12.3,11.8,13.1,14.8,14.5,11.8,8.6,7,98.8,0.8,0.2,0.2,0,0.6,96.3
Ohio,KY,13,228,9.7,"22,377","15,237",6,12.7,13.1,13.6,13.9,14.6,11.9,7.7,6.4,98.3,0.9,0.2,0.1,0,1.3,98.1
Oldham,KY,96,252,4.8,"36,269","30,366",5.4,13.9,14.6,12.2,17.2,17.3,11.9,4.7,2.8,93.7,4.4,0.7,0.3,0,1.9,111.8
Owen,KY,6,98,8.7,"19,299","6,999",6,13.1,12.8,14.3,14.5,15.2,11.5,7,5.7,97.9,1.1,0.2,0.3,0,1.1,100.5
Owsley,KY,2,67,14,"19,445","3,242",5.8,11.9,13.3,12.4,13.9,15.1,11.8,8.6,7.2,99.5,0.1,0.1,0.1,0,0.7,98.9
Pendleton,KY,5,119,7.9,"21,538","9,081",5.7,14.6,13.7,14,16.1,14.6,10.8,5.9,4.8,98.9,0.5,0.1,0.1,0,0.8,100.3
Perry,KY,95,326,11,"24,246","19,596",6.8,12.3,12.5,13.5,15.3,16.2,11.6,6.9,5,97.4,1.6,0.7,0,0,0.6,95.6
Pike,KY,147,730,10.9,"23,673","46,153",5.5,12.3,12.6,13.3,15,16.2,12.3,7.3,5.6,98.5,0.5,0.4,0.1,0,0.8,95.7
Powell,KY,6,142,10.4,"19,899","8,485",6.5,12.8,13,14,14.7,14.5,10.8,8.3,5.4,99.1,0.7,0,0,0,0.7,98.5
Pulaski,KY,139,649,11.1,"24,362","38,430",6.1,12.1,12.1,13.3,14.5,14.5,11.5,8.7,7.2,97.3,1.3,0.5,0.2,0,1.2,95.3
Robertson,KY,1,20,8.7,"19,540","1,566",4.8,12.7,12.7,10.7,15.6,14.2,12.7,8.9,7.8,99,0.3,0,0,0.7,1,97.7
Rockcastle,KY,14,182,10.9,"18,661","11,109",6,12.4,12.7,14,15.4,14.3,11.3,7.8,6,99.2,0.2,0.1,0.1,0,0.6,97.4
Rowan,KY,68,211,9.5,"21,510","12,455",5.7,10.5,25.8,13.3,12.1,11.8,9.1,6.5,5,96.3,1.6,1.2,0.2,0,1.3,95.8
Russell,KY,17,181,10.8,"20,814","11,437",5.8,11.7,11.7,12.8,14.3,14.6,12.6,9.2,7.2,98.9,0.7,0.2,0.1,0,0.9,94.2
Scott,KY,56,234,6.2,"29,261","20,459",7.1,14.2,15.5,16.2,15.9,14,8.7,4.7,3.7,92.4,5.4,0.9,0.2,0,2,96.7
Shelby,KY,45,278,7.5,"29,220","22,096",6.9,13.1,13.2,15.3,15.7,14.2,11.1,6,4.6,89.3,8.2,0.6,0.4,0.4,8,98.1
Simpson,KY,12,164,9.7,"26,974","10,680",6.4,14,12.9,13.7,14.9,14.1,10.8,6.9,6.2,88.2,9.8,1,0.1,0.2,1,96.6
Spencer,KY,8,96,6.5,"22,833","7,672",6,14.3,13.5,16.4,17.1,14.7,9.2,5.2,3.6,97.1,1.6,0.1,0.2,0,1.1,103.1
Taylor,KY,39,243,10.4,"23,146","15,253",5.8,11.9,14.8,11.6,13.8,14.4,11.4,9.1,7.3,93.9,5.3,0.3,0.1,0,1.4,92.3
Todd,KY,2,136,11.4,"23,840","7,758",7.3,14.3,12.2,13.3,14.2,14.1,11.5,7,6.2,90.7,8.6,0.2,0.2,0,2,96.7
Trigg,KY,10,154,11.6,"31,341","8,897",5.2,12.2,12.1,12.3,14.2,14.1,13.1,9.6,7.3,89.6,9.3,0.4,0.1,0,1,97
Trimble,KY,1,84,9.3,"17,906","5,340",5.7,13.7,13.5,14.4,15.9,14.5,11.2,6.1,4.9,98.8,0.3,0.1,0.4,0,1.4,99
